max_epoch=100,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.018415	0.022750	0.017872	0.043000
2	0.016760	0.124750	0.016428	0.135000
3	0.015394	0.251500	0.015321	0.232000
4	0.014212	0.354000	0.014401	0.317000
5	0.013120	0.449750	0.013638	0.375000
6	0.012163	0.527750	0.012957	0.406000
7	0.011293	0.579000	0.012314	0.433000
8	0.010498	0.626000	0.011766	0.458000
9	0.009847	0.653250	0.011322	0.473000
10	0.009248	0.672000	0.010911	0.482000
11	0.008692	0.696750	0.010528	0.505000
12	0.008195	0.718000	0.010239	0.511000
13	0.007751	0.730250	0.009919	0.526000
14	0.007370	0.744000	0.009630	0.530000
15	0.006968	0.761750	0.009375	0.549000
16	0.006675	0.770250	0.009175	0.542000
17	0.006339	0.780750	0.008950	0.563000
18	0.006013	0.797000	0.008799	0.567000
19	0.005786	0.809750	0.008591	0.562000
20	0.005524	0.814750	0.008452	0.579000
21	0.005315	0.822000	0.008283	0.571000
22	0.005095	0.837250	0.008184	0.575000
23	0.004911	0.835250	0.008052	0.576000
24	0.004756	0.840000	0.007948	0.576000
25	0.004580	0.852750	0.007843	0.595000
26	0.004402	0.859750	0.007763	0.574000
27	0.004242	0.859500	0.007656	0.588000
28	0.004130	0.870500	0.007582	0.587000
29	0.003980	0.872500	0.007480	0.591000
30	0.003854	0.875750	0.007418	0.592000
31	0.003721	0.880500	0.007356	0.595000
32	0.003602	0.889000	0.007290	0.598000
33	0.003494	0.892500	0.007229	0.592000
34	0.003413	0.892250	0.007149	0.600000
35	0.003310	0.896000	0.007128	0.596000
36	0.003213	0.900750	0.007073	0.597000
37	0.003096	0.905750	0.007027	0.599000
38	0.003024	0.912000	0.006978	0.611000
39	0.002937	0.910250	0.006930	0.591000
40	0.002847	0.921250	0.006892	0.607000
41	0.002773	0.921250	0.006845	0.602000
42	0.002708	0.927750	0.006822	0.606000
43	0.002612	0.931000	0.006781	0.602000
44	0.002552	0.931500	0.006750	0.601000
45	0.002480	0.940000	0.006724	0.605000
46	0.002432	0.939000	0.006667	0.606000
47	0.002356	0.946000	0.006666	0.606000
48	0.002319	0.941250	0.006617	0.609000
49	0.002248	0.949250	0.006598	0.603000
50	0.002193	0.948250	0.006584	0.606000
51	0.002131	0.948750	0.006547	0.609000
52	0.002088	0.955000	0.006535	0.609000
53	0.002033	0.957500	0.006520	0.610000
54	0.001987	0.961250	0.006479	0.623000
55	0.001933	0.960750	0.006486	0.611000
56	0.001892	0.965000	0.006447	0.618000
57	0.001848	0.968000	0.006443	0.620000
58	0.001793	0.967500	0.006430	0.613000
59	0.001758	0.967000	0.006399	0.614000
60	0.001714	0.971000	0.006383	0.608000
61	0.001672	0.974750	0.006352	0.619000
62	0.001629	0.974750	0.006368	0.613000
63	0.001608	0.974750	0.006336	0.611000
64	0.001570	0.979250	0.006348	0.615000
65	0.001529	0.978000	0.006336	0.607000
66	0.001495	0.979500	0.006312	0.620000
67	0.001460	0.982750	0.006305	0.610000
68	0.001418	0.982000	0.006307	0.621000
69	0.001401	0.984750	0.006277	0.616000
70	0.001374	0.983500	0.006268	0.617000
71	0.001351	0.987750	0.006278	0.617000
72	0.001300	0.988500	0.006238	0.625000
73	0.001264	0.987000	0.006268	0.614000
74	0.001254	0.988500	0.006241	0.622000
75	0.001223	0.987750	0.006238	0.620000
76	0.001193	0.990250	0.006225	0.616000
77	0.001172	0.989500	0.006223	0.618000
78	0.001143	0.991250	0.006214	0.619000
79	0.001129	0.991500	0.006220	0.621000
80	0.001110	0.994000	0.006215	0.626000
81	0.001099	0.992000	0.006197	0.625000
82	0.001074	0.992750	0.006201	0.625000
83	0.001046	0.993750	0.006196	0.624000
84	0.001020	0.995000	0.006197	0.616000
85	0.000990	0.995500	0.006174	0.629000
86	0.000971	0.995750	0.006184	0.619000
87	0.000960	0.996250	0.006185	0.623000
88	0.000933	0.996500	0.006191	0.618000
89	0.000924	0.995500	0.006181	0.623000
90	0.000915	0.996000	0.006176	0.617000
91	0.000903	0.997500	0.006159	0.626000
92	0.000870	0.995500	0.006191	0.628000
93	0.000851	0.996750	0.006164	0.621000
94	0.000841	0.997750	0.006182	0.618000
95	0.000821	0.997750	0.006158	0.622000
96	0.000812	0.997250	0.006162	0.619000
97	0.000796	0.997500	0.006173	0.626000
98	0.000776	0.998500	0.006147	0.624000
99	0.000756	0.998500	0.006170	0.621000
100	0.000750	0.997750	0.006155	0.619000
