max_epoch=100,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.012904	0.360750	0.009581	0.402000
2	0.003651	0.916250	0.004959	0.823000
3	0.000653	0.995750	0.003266	0.883000
4	0.000121	0.999750	0.002569	0.900000
5	0.000045	1.000000	0.002374	0.901000
6	0.000026	1.000000	0.002276	0.902000
7	0.000019	1.000000	0.002247	0.904000
8	0.000016	1.000000	0.002216	0.905000
9	0.000013	1.000000	0.002179	0.902000
10	0.000012	1.000000	0.002157	0.904000
11	0.000010	1.000000	0.002136	0.905000
12	0.000009	1.000000	0.002120	0.904000
13	0.000008	1.000000	0.002108	0.904000
14	0.000007	1.000000	0.002091	0.907000
15	0.000007	1.000000	0.002084	0.905000
16	0.000006	1.000000	0.002069	0.906000
17	0.000006	1.000000	0.002064	0.903000
18	0.000005	1.000000	0.002048	0.904000
19	0.000005	1.000000	0.002037	0.904000
20	0.000005	1.000000	0.002033	0.905000
21	0.000004	1.000000	0.002018	0.906000
22	0.000004	1.000000	0.002012	0.904000
23	0.000004	1.000000	0.002006	0.903000
24	0.000004	1.000000	0.002001	0.903000
25	0.000003	1.000000	0.001992	0.906000
26	0.000003	1.000000	0.001982	0.906000
27	0.000003	1.000000	0.001980	0.905000
28	0.000003	1.000000	0.001971	0.904000
29	0.000003	1.000000	0.001968	0.904000
30	0.000003	1.000000	0.001963	0.903000
31	0.000002	1.000000	0.001959	0.905000
32	0.000002	1.000000	0.001955	0.904000
33	0.000002	1.000000	0.001951	0.904000
34	0.000002	1.000000	0.001943	0.903000
35	0.000002	1.000000	0.001939	0.905000
36	0.000002	1.000000	0.001934	0.904000
37	0.000002	1.000000	0.001930	0.905000
38	0.000002	1.000000	0.001923	0.905000
39	0.000002	1.000000	0.001922	0.904000
40	0.000002	1.000000	0.001915	0.905000
41	0.000002	1.000000	0.001916	0.906000
42	0.000001	1.000000	0.001914	0.905000
43	0.000001	1.000000	0.001906	0.905000
44	0.000001	1.000000	0.001905	0.906000
45	0.000001	1.000000	0.001897	0.905000
46	0.000001	1.000000	0.001899	0.904000
47	0.000001	1.000000	0.001895	0.904000
48	0.000001	1.000000	0.001892	0.904000
49	0.000001	1.000000	0.001888	0.905000
50	0.000001	1.000000	0.001883	0.904000
51	0.000001	1.000000	0.001883	0.904000
52	0.000001	1.000000	0.001879	0.905000
53	0.000001	1.000000	0.001872	0.906000
54	0.000001	1.000000	0.001872	0.905000
55	0.000001	1.000000	0.001866	0.905000
56	0.000001	1.000000	0.001868	0.906000
57	0.000001	1.000000	0.001867	0.905000
58	0.000001	1.000000	0.001863	0.906000
59	0.000001	1.000000	0.001862	0.905000
60	0.000001	1.000000	0.001858	0.906000
61	0.000001	1.000000	0.001860	0.905000
62	0.000001	1.000000	0.001854	0.906000
63	0.000001	1.000000	0.001851	0.908000
64	0.000001	1.000000	0.001849	0.907000
65	0.000001	1.000000	0.001846	0.905000
66	0.000001	1.000000	0.001842	0.906000
67	0.000001	1.000000	0.001844	0.905000
68	0.000001	1.000000	0.001842	0.902000
69	0.000001	1.000000	0.001840	0.904000
70	0.000001	1.000000	0.001840	0.903000
71	0.000001	1.000000	0.001841	0.904000
72	0.000001	1.000000	0.001832	0.904000
73	0.000001	1.000000	0.001830	0.903000
74	0.000001	1.000000	0.001828	0.904000
75	0.000001	1.000000	0.001827	0.905000
76	0.000001	1.000000	0.001826	0.903000
77	0.000001	1.000000	0.001825	0.905000
78	0.000001	1.000000	0.001823	0.904000
79	0.000001	1.000000	0.001822	0.904000
80	0.000001	1.000000	0.001818	0.906000
81	0.000000	1.000000	0.001816	0.905000
82	0.000000	1.000000	0.001818	0.907000
83	0.000000	1.000000	0.001816	0.907000
84	0.000000	1.000000	0.001814	0.903000
85	0.000000	1.000000	0.001808	0.905000
86	0.000000	1.000000	0.001807	0.906000
87	0.000000	1.000000	0.001809	0.904000
88	0.000000	1.000000	0.001803	0.907000
89	0.000000	1.000000	0.001803	0.905000
90	0.000000	1.000000	0.001804	0.906000
91	0.000000	1.000000	0.001801	0.907000
92	0.000000	1.000000	0.001800	0.906000
93	0.000000	1.000000	0.001797	0.907000
94	0.000000	1.000000	0.001797	0.904000
95	0.000000	1.000000	0.001796	0.905000
96	0.000000	1.000000	0.001795	0.910000
97	0.000000	1.000000	0.001791	0.904000
98	0.000000	1.000000	0.001792	0.906000
99	0.000000	1.000000	0.001788	0.907000
100	0.000000	1.000000	0.001791	0.908000
