max_epoch=100,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.012369	0.379250	0.008407	0.505000
2	0.003150	0.918750	0.004337	0.829000
3	0.000517	0.994750	0.002758	0.884000
4	0.000092	1.000000	0.001778	0.919000
5	0.000033	0.999750	0.001616	0.925000
6	0.000019	1.000000	0.001519	0.926000
7	0.000020	0.999500	0.001534	0.928000
8	0.000022	0.999000	0.001812	0.909000
9	0.000022	0.999500	0.001521	0.926000
10	0.000017	0.999750	0.001465	0.930000
11	0.000010	1.000000	0.001404	0.928000
12	0.000007	1.000000	0.001384	0.932000
13	0.000006	1.000000	0.001361	0.934000
14	0.000005	1.000000	0.001347	0.934000
15	0.000005	1.000000	0.001340	0.937000
16	0.000004	1.000000	0.001326	0.932000
17	0.000004	1.000000	0.001322	0.933000
18	0.000004	1.000000	0.001313	0.933000
19	0.000003	1.000000	0.001310	0.934000
20	0.000003	1.000000	0.001303	0.935000
21	0.000003	1.000000	0.001302	0.934000
22	0.000003	1.000000	0.001296	0.934000
23	0.000003	1.000000	0.001288	0.933000
24	0.000003	1.000000	0.001286	0.935000
25	0.000002	1.000000	0.001283	0.933000
26	0.000002	1.000000	0.001276	0.934000
27	0.000002	1.000000	0.001275	0.934000
28	0.000002	1.000000	0.001266	0.936000
29	0.000002	1.000000	0.001265	0.934000
30	0.000002	1.000000	0.001260	0.935000
31	0.000002	1.000000	0.001257	0.935000
32	0.000002	1.000000	0.001252	0.934000
33	0.000002	1.000000	0.001253	0.935000
34	0.000002	1.000000	0.001249	0.936000
35	0.000001	1.000000	0.001246	0.936000
36	0.000001	1.000000	0.001243	0.937000
37	0.000001	1.000000	0.001243	0.936000
38	0.000001	1.000000	0.001237	0.938000
39	0.000001	1.000000	0.001236	0.936000
40	0.000001	1.000000	0.001234	0.938000
41	0.000001	1.000000	0.001233	0.937000
42	0.000001	1.000000	0.001226	0.936000
43	0.000001	1.000000	0.001232	0.937000
44	0.000001	1.000000	0.001228	0.938000
45	0.000001	1.000000	0.001225	0.935000
46	0.000001	1.000000	0.001222	0.938000
47	0.000001	1.000000	0.001220	0.937000
48	0.000001	1.000000	0.001220	0.936000
49	0.000001	1.000000	0.001213	0.938000
50	0.000001	1.000000	0.001213	0.937000
51	0.000001	1.000000	0.001208	0.938000
52	0.000001	1.000000	0.001208	0.938000
53	0.000001	1.000000	0.001208	0.938000
54	0.000001	1.000000	0.001210	0.937000
55	0.000001	1.000000	0.001207	0.937000
56	0.000001	1.000000	0.001201	0.937000
57	0.000001	1.000000	0.001201	0.937000
58	0.000001	1.000000	0.001202	0.938000
59	0.000001	1.000000	0.001199	0.937000
60	0.000001	1.000000	0.001198	0.937000
61	0.000001	1.000000	0.001198	0.936000
62	0.000001	1.000000	0.001192	0.940000
63	0.000001	1.000000	0.001193	0.938000
64	0.000001	1.000000	0.001194	0.936000
65	0.000001	1.000000	0.001191	0.936000
66	0.000001	1.000000	0.001192	0.937000
67	0.000001	1.000000	0.001184	0.941000
68	0.000001	1.000000	0.001184	0.938000
69	0.000001	1.000000	0.001181	0.939000
70	0.000000	1.000000	0.001183	0.937000
71	0.000000	1.000000	0.001181	0.939000
72	0.000000	1.000000	0.001181	0.935000
73	0.000000	1.000000	0.001179	0.938000
74	0.000000	1.000000	0.001176	0.940000
75	0.000000	1.000000	0.001177	0.939000
76	0.000000	1.000000	0.001178	0.939000
77	0.000000	1.000000	0.001176	0.939000
78	0.000000	1.000000	0.001180	0.935000
79	0.000000	1.000000	0.001171	0.938000
80	0.000000	1.000000	0.001174	0.939000
81	0.000000	1.000000	0.001173	0.938000
82	0.000000	1.000000	0.001171	0.939000
83	0.000000	1.000000	0.001169	0.938000
84	0.000000	1.000000	0.001166	0.939000
85	0.000000	1.000000	0.001168	0.939000
86	0.000000	1.000000	0.001169	0.940000
87	0.000000	1.000000	0.001167	0.938000
88	0.000000	1.000000	0.001164	0.939000
89	0.000000	1.000000	0.001166	0.935000
90	0.000000	1.000000	0.001167	0.939000
91	0.000000	1.000000	0.001162	0.939000
92	0.000000	1.000000	0.001163	0.937000
93	0.000000	1.000000	0.001160	0.938000
94	0.000000	1.000000	0.001162	0.939000
95	0.000000	1.000000	0.001160	0.937000
96	0.000000	1.000000	0.001158	0.938000
97	0.000000	1.000000	0.001158	0.939000
98	0.000000	1.000000	0.001157	0.939000
99	0.000000	1.000000	0.001157	0.939000
100	0.000000	1.000000	0.001156	0.937000
