max_epoch=100,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.012228	0.374000	0.011540	0.288000
2	0.003370	0.893250	0.005045	0.826000
3	0.000679	0.988750	0.002844	0.884000
4	0.000142	0.998250	0.001837	0.909000
5	0.000045	0.999500	0.001372	0.935000
6	0.000030	0.999750	0.001212	0.941000
7	0.000029	0.998750	0.001284	0.937000
8	0.000019	0.999500	0.001258	0.940000
9	0.000012	1.000000	0.001187	0.947000
10	0.000009	1.000000	0.001143	0.952000
11	0.000007	1.000000	0.001125	0.950000
12	0.000006	1.000000	0.001113	0.952000
13	0.000006	1.000000	0.001098	0.953000
14	0.000005	1.000000	0.001091	0.951000
15	0.000005	1.000000	0.001083	0.952000
16	0.000004	1.000000	0.001072	0.953000
17	0.000004	1.000000	0.001065	0.953000
18	0.000004	1.000000	0.001060	0.953000
19	0.000003	1.000000	0.001057	0.953000
20	0.000003	1.000000	0.001046	0.954000
21	0.000003	1.000000	0.001044	0.953000
22	0.000003	1.000000	0.001033	0.954000
23	0.000003	1.000000	0.001033	0.955000
24	0.000002	1.000000	0.001031	0.955000
25	0.000002	1.000000	0.001026	0.955000
26	0.000002	1.000000	0.001023	0.955000
27	0.000002	1.000000	0.001021	0.954000
28	0.000002	1.000000	0.001017	0.955000
29	0.000002	1.000000	0.001013	0.955000
30	0.000002	1.000000	0.001010	0.955000
31	0.000002	1.000000	0.001005	0.955000
32	0.000002	1.000000	0.001005	0.954000
33	0.000002	1.000000	0.001001	0.954000
34	0.000002	1.000000	0.000999	0.954000
35	0.000001	1.000000	0.000999	0.955000
36	0.000001	1.000000	0.000992	0.955000
37	0.000001	1.000000	0.000991	0.954000
38	0.000001	1.000000	0.000987	0.954000
39	0.000001	1.000000	0.000984	0.955000
40	0.000001	1.000000	0.000984	0.954000
41	0.000001	1.000000	0.000981	0.954000
42	0.000001	1.000000	0.000975	0.954000
43	0.000001	1.000000	0.000974	0.954000
44	0.000001	1.000000	0.000975	0.955000
45	0.000001	1.000000	0.000975	0.954000
46	0.000001	1.000000	0.000972	0.954000
47	0.000001	1.000000	0.000968	0.954000
48	0.000001	1.000000	0.000965	0.955000
49	0.000001	1.000000	0.000967	0.954000
50	0.000001	1.000000	0.000964	0.954000
51	0.000001	1.000000	0.000962	0.954000
52	0.000001	1.000000	0.000963	0.954000
53	0.000001	1.000000	0.000960	0.955000
54	0.000001	1.000000	0.000960	0.955000
55	0.000001	1.000000	0.000955	0.955000
56	0.000001	1.000000	0.000954	0.955000
57	0.000001	1.000000	0.000952	0.954000
58	0.000001	1.000000	0.000951	0.954000
59	0.000001	1.000000	0.000951	0.954000
60	0.000001	1.000000	0.000952	0.953000
61	0.000001	1.000000	0.000950	0.953000
62	0.000001	1.000000	0.000946	0.955000
63	0.000001	1.000000	0.000945	0.953000
64	0.000001	1.000000	0.000945	0.954000
65	0.000001	1.000000	0.000942	0.955000
66	0.000001	1.000000	0.000940	0.955000
67	0.000001	1.000000	0.000942	0.955000
68	0.000001	1.000000	0.000937	0.956000
69	0.000001	1.000000	0.000937	0.954000
70	0.000000	1.000000	0.000934	0.953000
71	0.000000	1.000000	0.000937	0.954000
72	0.000000	1.000000	0.000934	0.954000
73	0.000000	1.000000	0.000936	0.956000
74	0.000000	1.000000	0.000932	0.954000
75	0.000000	1.000000	0.000933	0.955000
76	0.000000	1.000000	0.000932	0.956000
77	0.000000	1.000000	0.000930	0.955000
78	0.000000	1.000000	0.000926	0.955000
79	0.000000	1.000000	0.000930	0.954000
80	0.000000	1.000000	0.000925	0.954000
81	0.000000	1.000000	0.000924	0.955000
82	0.000000	1.000000	0.000925	0.955000
83	0.000000	1.000000	0.000925	0.955000
84	0.000000	1.000000	0.000928	0.954000
85	0.000000	1.000000	0.000921	0.955000
86	0.000000	1.000000	0.000921	0.955000
87	0.000000	1.000000	0.000922	0.955000
88	0.000000	1.000000	0.000917	0.955000
89	0.000000	1.000000	0.000919	0.954000
90	0.000000	1.000000	0.000920	0.955000
91	0.000000	1.000000	0.000915	0.955000
92	0.000000	1.000000	0.000916	0.955000
93	0.000000	1.000000	0.000914	0.955000
94	0.000000	1.000000	0.000915	0.953000
95	0.000000	1.000000	0.000913	0.955000
96	0.000000	1.000000	0.000913	0.955000
97	0.000000	1.000000	0.000914	0.955000
98	0.000000	1.000000	0.000909	0.955000
99	0.000000	1.000000	0.000906	0.954000
100	0.000000	1.000000	0.000910	0.955000
