max_epoch=200,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.018512	0.009250	0.018269	0.029000
2	0.018199	0.021750	0.017838	0.060000
3	0.017464	0.048500	0.016440	0.094000
4	0.016177	0.065250	0.015142	0.154000
5	0.015220	0.091750	0.014218	0.209000
6	0.014341	0.133250	0.013293	0.240000
7	0.013484	0.164500	0.012587	0.284000
8	0.012534	0.219250	0.011571	0.327000
9	0.011805	0.261250	0.010948	0.366000
10	0.010982	0.305750	0.010402	0.385000
11	0.010424	0.334750	0.010044	0.395000
12	0.010023	0.352250	0.009816	0.406000
13	0.009559	0.384000	0.009308	0.435000
14	0.009052	0.405750	0.008924	0.449000
15	0.008578	0.437500	0.008653	0.449000
16	0.008229	0.456500	0.008548	0.466000
17	0.007936	0.478750	0.008268	0.484000
18	0.007717	0.488750	0.008297	0.468000
19	0.007431	0.509750	0.008135	0.482000
20	0.007158	0.525250	0.007858	0.511000
21	0.006847	0.542000	0.007923	0.495000
22	0.006617	0.560000	0.007490	0.530000
23	0.006426	0.557250	0.007592	0.524000
24	0.006144	0.585750	0.007359	0.533000
25	0.006060	0.591250	0.007627	0.520000
26	0.005871	0.603250	0.007284	0.533000
27	0.005649	0.614750	0.007210	0.545000
28	0.005432	0.625000	0.007035	0.552000
29	0.005256	0.635500	0.007152	0.543000
30	0.005208	0.634750	0.007109	0.540000
31	0.005083	0.653500	0.006850	0.559000
32	0.004797	0.660750	0.006922	0.559000
33	0.004620	0.670000	0.006719	0.574000
34	0.004613	0.681750	0.006787	0.559000
35	0.004545	0.680250	0.006761	0.555000
36	0.004276	0.711500	0.006877	0.556000
37	0.004166	0.699250	0.006732	0.574000
38	0.003989	0.715250	0.006637	0.580000
39	0.003821	0.729500	0.006767	0.570000
40	0.003957	0.721750	0.006642	0.572000
41	0.003722	0.731000	0.006651	0.579000
42	0.003580	0.742500	0.006597	0.589000
43	0.003528	0.744250	0.006592	0.581000
44	0.003436	0.752500	0.006586	0.579000
45	0.003362	0.756000	0.006628	0.582000
46	0.003303	0.757000	0.006470	0.581000
47	0.003267	0.756500	0.006465	0.592000
48	0.003138	0.775750	0.006511	0.590000
49	0.002987	0.781500	0.006575	0.589000
50	0.002858	0.787500	0.006530	0.594000
51	0.002778	0.801750	0.006450	0.606000
52	0.002700	0.797250	0.006514	0.592000
53	0.002566	0.814750	0.006565	0.596000
54	0.002622	0.804750	0.006420	0.611000
55	0.002554	0.811250	0.006560	0.602000
56	0.002496	0.818000	0.006465	0.597000
57	0.002383	0.822500	0.006499	0.599000
58	0.002370	0.826500	0.006434	0.604000
59	0.002288	0.826250	0.006677	0.591000
60	0.002216	0.834750	0.006618	0.591000
61	0.002101	0.851000	0.006536	0.614000
62	0.002208	0.840250	0.006551	0.596000
63	0.002081	0.846750	0.006737	0.598000
64	0.002110	0.844000	0.006523	0.601000
65	0.002089	0.844000	0.006608	0.602000
