max_epoch=100,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.018366	0.014500	0.018201	0.022000
2	0.017831	0.065750	0.017442	0.065000
3	0.016653	0.096000	0.016028	0.092000
4	0.015236	0.135750	0.014875	0.151000
5	0.014173	0.185750	0.014013	0.173000
6	0.013264	0.236750	0.013278	0.212000
7	0.012393	0.275250	0.012728	0.239000
8	0.011678	0.308750	0.012211	0.258000
9	0.010841	0.365000	0.011565	0.310000
10	0.010193	0.402000	0.011144	0.326000
11	0.009646	0.422500	0.010814	0.314000
12	0.009030	0.461500	0.010339	0.361000
13	0.008550	0.485500	0.010168	0.365000
14	0.008215	0.512250	0.010037	0.378000
15	0.007829	0.521000	0.009576	0.402000
16	0.007413	0.550750	0.009564	0.409000
17	0.007148	0.568000	0.009320	0.407000
18	0.006830	0.588250	0.009137	0.434000
19	0.006459	0.603250	0.009099	0.433000
20	0.006273	0.615500	0.008878	0.451000
21	0.005988	0.629000	0.008603	0.457000
22	0.005703	0.649750	0.008589	0.462000
23	0.005556	0.655750	0.008619	0.470000
24	0.005410	0.653250	0.008310	0.485000
25	0.005144	0.682250	0.008301	0.472000
26	0.004990	0.684750	0.008279	0.477000
27	0.004764	0.704500	0.008224	0.502000
28	0.004683	0.707750	0.008108	0.492000
29	0.004474	0.721000	0.008001	0.490000
30	0.004370	0.733500	0.007940	0.503000
31	0.004114	0.744500	0.008029	0.499000
32	0.004066	0.743750	0.007952	0.511000
33	0.003900	0.749500	0.007855	0.497000
34	0.003860	0.757000	0.007878	0.516000
35	0.003677	0.776250	0.007796	0.515000
36	0.003570	0.778750	0.007874	0.514000
37	0.003457	0.785750	0.007907	0.506000
38	0.003451	0.787250	0.007964	0.507000
39	0.003237	0.799500	0.007893	0.509000
40	0.003113	0.808000	0.007680	0.524000
41	0.003020	0.817250	0.007839	0.518000
42	0.002979	0.814750	0.007938	0.512000
43	0.002893	0.818250	0.008084	0.505000
44	0.002862	0.817500	0.008008	0.518000
45	0.002696	0.834750	0.007745	0.519000
46	0.002544	0.849250	0.007922	0.506000
47	0.002517	0.850500	0.007831	0.526000
48	0.002443	0.844250	0.007841	0.530000
49	0.002291	0.867000	0.008122	0.518000
50	0.002268	0.861000	0.007831	0.531000
51	0.002173	0.876000	0.007751	0.536000
52	0.002105	0.873250	0.007766	0.539000
53	0.002066	0.873750	0.007982	0.535000
54	0.002012	0.883000	0.008004	0.527000
55	0.001899	0.886500	0.007980	0.520000
56	0.001883	0.889000	0.007931	0.544000
57	0.001785	0.903500	0.008111	0.521000
58	0.001699	0.907500	0.008095	0.536000
59	0.001715	0.908000	0.007980	0.535000
60	0.001638	0.907750	0.008151	0.530000
61	0.001561	0.914750	0.008168	0.529000
62	0.001425	0.926750	0.008046	0.545000
63	0.001437	0.930000	0.008201	0.535000
64	0.001448	0.924500	0.008193	0.532000
65	0.001340	0.932750	0.008210	0.533000
66	0.001272	0.942250	0.008365	0.528000
67	0.001339	0.930250	0.008468	0.528000
68	0.001250	0.940750	0.008225	0.547000
69	0.001107	0.954500	0.008220	0.533000
70	0.001029	0.961750	0.008184	0.534000
71	0.001040	0.957250	0.008513	0.530000
72	0.001021	0.958250	0.008539	0.536000
73	0.001056	0.947750	0.008534	0.536000
74	0.000906	0.967250	0.008454	0.542000
75	0.000892	0.966500	0.008517	0.543000
76	0.000885	0.969750	0.008460	0.539000
77	0.000806	0.976500	0.008639	0.540000
78	0.000757	0.979000	0.008451	0.548000
79	0.000764	0.976750	0.008572	0.526000
80	0.000732	0.977750	0.008594	0.533000
81	0.000700	0.979500	0.008866	0.547000
82	0.000711	0.978750	0.008781	0.538000
83	0.000660	0.985000	0.008892	0.529000
84	0.000640	0.982500	0.008835	0.531000
85	0.000635	0.987250	0.008787	0.536000
86	0.000597	0.985500	0.009119	0.535000
87	0.000644	0.982000	0.008863	0.540000
88	0.000537	0.989750	0.008932	0.535000
89	0.000548	0.986000	0.008992	0.543000
90	0.000528	0.989500	0.009164	0.533000
91	0.000490	0.994000	0.009101	0.544000
92	0.000487	0.991750	0.009078	0.538000
93	0.000448	0.993000	0.009079	0.542000
94	0.000411	0.994250	0.009118	0.549000
95	0.000399	0.996000	0.009199	0.541000
96	0.000385	0.995500	0.009306	0.543000
97	0.000420	0.994250	0.009418	0.544000
98	0.000382	0.995250	0.009362	0.539000
99	0.000360	0.998000	0.009403	0.542000
100	0.000353	0.997500	0.009328	0.540000
