max_epoch=100,batch_size=256,lr=0.001000
e	train_loss	train_acc	valid_loss	valid_acc
1	0.018490	0.006250	0.018398	0.008000
2	0.018387	0.010500	0.018363	0.016000
3	0.018364	0.014500	0.018285	0.034000
4	0.018254	0.019250	0.018086	0.044000
5	0.017964	0.028000	0.017524	0.047000
6	0.017356	0.037250	0.016790	0.040000
7	0.016836	0.039750	0.016152	0.074000
8	0.016468	0.041250	0.015786	0.080000
9	0.016068	0.056250	0.015363	0.123000
10	0.015757	0.062250	0.014956	0.151000
11	0.015373	0.077500	0.014759	0.137000
12	0.015155	0.083500	0.014309	0.166000
13	0.014827	0.095750	0.013991	0.184000
14	0.014517	0.108000	0.013730	0.193000
15	0.014350	0.115250	0.013488	0.206000
16	0.014146	0.125750	0.013294	0.209000
17	0.013890	0.134750	0.012951	0.223000
18	0.013717	0.136750	0.012765	0.229000
19	0.013532	0.149250	0.012730	0.250000
20	0.013389	0.161750	0.012475	0.246000
21	0.013145	0.155000	0.012226	0.259000
22	0.012970	0.168500	0.012196	0.289000
23	0.012806	0.180500	0.011894	0.298000
24	0.012624	0.189250	0.011754	0.297000
25	0.012527	0.198000	0.011617	0.306000
26	0.012423	0.194500	0.011525	0.301000
27	0.012331	0.207250	0.011427	0.310000
28	0.012120	0.211500	0.011319	0.325000
29	0.012036	0.222750	0.011173	0.328000
30	0.011843	0.229750	0.010976	0.346000
31	0.011790	0.229500	0.010922	0.332000
32	0.011710	0.239000	0.011048	0.339000
33	0.011592	0.239750	0.010646	0.343000
34	0.011473	0.248000	0.010577	0.348000
35	0.011371	0.254000	0.010532	0.355000
36	0.011336	0.252500	0.010559	0.357000
37	0.011268	0.264250	0.010372	0.380000
38	0.010999	0.279750	0.010295	0.364000
39	0.010895	0.277000	0.010165	0.383000
40	0.010829	0.282250	0.010148	0.383000
41	0.010790	0.289000	0.010034	0.380000
42	0.010639	0.292250	0.010109	0.369000
43	0.010689	0.273750	0.009989	0.387000
44	0.010519	0.301750	0.010066	0.385000
45	0.010459	0.299500	0.009915	0.370000
46	0.010423	0.304250	0.009718	0.390000
47	0.010325	0.310750	0.009706	0.392000
48	0.010109	0.313000	0.009628	0.394000
49	0.010102	0.319500	0.009702	0.401000
50	0.010141	0.319000	0.009601	0.400000
51	0.010033	0.326250	0.009546	0.410000
52	0.010154	0.319500	0.009477	0.401000
53	0.009996	0.332250	0.009507	0.411000
54	0.009906	0.323500	0.009405	0.400000
55	0.009903	0.331750	0.009278	0.420000
56	0.009887	0.334500	0.009226	0.411000
57	0.009701	0.336750	0.009358	0.403000
58	0.009786	0.339500	0.009291	0.406000
59	0.009565	0.356000	0.009215	0.410000
60	0.009631	0.346000	0.009196	0.407000
61	0.009442	0.357500	0.009128	0.436000
62	0.009415	0.356750	0.009205	0.439000
63	0.009532	0.348500	0.009171	0.404000
64	0.009301	0.361250	0.009140	0.404000
65	0.009361	0.364000	0.009048	0.430000
66	0.009262	0.366750	0.009098	0.416000
67	0.009201	0.371250	0.008924	0.430000
68	0.009326	0.360500	0.008978	0.430000
69	0.009287	0.355250	0.009044	0.425000
70	0.009119	0.370000	0.008899	0.437000
71	0.009001	0.380000	0.008942	0.432000
72	0.008915	0.388000	0.008742	0.441000
73	0.009018	0.367000	0.008784	0.444000
74	0.009016	0.391000	0.008881	0.435000
75	0.008935	0.379750	0.008871	0.431000
76	0.008988	0.374000	0.008927	0.432000
77	0.008777	0.398500	0.008827	0.435000
78	0.008769	0.398250	0.008614	0.446000
79	0.008770	0.399500	0.008792	0.449000
80	0.008740	0.395750	0.008768	0.429000
81	0.008855	0.389250	0.008727	0.454000
82	0.008530	0.406500	0.008686	0.445000
83	0.008818	0.396750	0.008629	0.471000
84	0.008649	0.402750	0.008689	0.458000
85	0.008876	0.393250	0.008805	0.438000
86	0.008697	0.410000	0.008786	0.453000
87	0.008488	0.412000	0.008589	0.447000
88	0.008555	0.404250	0.008578	0.452000
89	0.008630	0.406750	0.008671	0.453000
90	0.008546	0.406500	0.008718	0.441000
91	0.008575	0.402750	0.008612	0.434000
92	0.008413	0.411000	0.008553	0.460000
93	0.008206	0.422250	0.008548	0.468000
94	0.008263	0.431750	0.008576	0.469000
95	0.008318	0.409250	0.008434	0.468000
96	0.008295	0.417250	0.008539	0.453000
97	0.008148	0.433500	0.008501	0.456000
98	0.008242	0.418500	0.008432	0.465000
99	0.008121	0.428500	0.008443	0.462000
100	0.008179	0.435000	0.008421	0.474000
