Name:conv1.weight, Diff: 0.3838.
Name:layer1.0.conv1.weight, Diff: 1.0640.
Name:layer1.0.conv2.weight, Diff: 1.2267.
Name:layer1.1.conv1.weight, Diff: 1.2454.
Name:layer1.1.conv2.weight, Diff: 1.2645.
Name:layer2.0.conv1.weight, Diff: 1.7438.
Name:layer2.0.conv2.weight, Diff: 2.6814.
Name:layer2.0.downsample.0.weight, Diff: 0.5523.
Name:layer2.1.conv1.weight, Diff: 2.6435.
Name:layer2.1.conv2.weight, Diff: 2.8042.
Name:layer3.0.conv1.weight, Diff: 4.0165.
Name:layer3.0.conv2.weight, Diff: 5.8272.
Name:layer3.0.downsample.0.weight, Diff: 1.3283.
Name:layer3.1.conv1.weight, Diff: 5.7341.
Name:layer3.1.conv2.weight, Diff: 5.8867.
Name:layer4.0.conv1.weight, Diff: 8.6153.
Name:layer4.0.conv2.weight, Diff: 12.4882.
Name:layer4.0.downsample.0.weight, Diff: 2.9324.
Name:layer4.1.conv1.weight, Diff: 12.8066.
Name:layer4.1.conv2.weight, Diff: 14.9246.
Name:fc.weight, Diff: 3.2179.
Name:fc.bias, Diff: 0.0214.
